,City,Country,Date,Temperature,Humidity,Wind Speed
103,Vienna,Austria,2023-02-25 15:00:00,6.37,46,7.15
104,Vienna,Austria,2023-02-25 18:00:00,3.66,64,6.04
105,Vienna,Austria,2023-02-25 21:00:00,2.22,59,5.82
106,Vienna,Austria,2023-02-26 00:00:00,1.02,61,5.51
107,Vienna,Austria,2023-02-26 03:00:00,0.23,65,5.41
108,Vienna,Austria,2023-02-26 06:00:00,0.06,68,5.35
109,Vienna,Austria,2023-02-26 09:00:00,2.51,54,5.43
110,Vienna,Austria,2023-02-26 12:00:00,4.36,39,5.47
111,Vienna,Austria,2023-02-26 15:00:00,4.33,41,5.18
112,Vienna,Austria,2023-02-26 18:00:00,2.42,56,3.63
113,Vienna,Austria,2023-02-26 21:00:00,0.75,64,3.85
114,Vienna,Austria,2023-02-27 00:00:00,-0.2,70,3.67
115,Vienna,Austria,2023-02-27 03:00:00,-0.68,70,3.47
116,Vienna,Austria,2023-02-27 06:00:00,-1.01,71,3.12
117,Vienna,Austria,2023-02-27 09:00:00,1.24,57,3.73
118,Vienna,Austria,2023-02-27 12:00:00,3.66,44,3.26
119,Vienna,Austria,2023-02-27 15:00:00,4.35,41,2.9
120,Minsk,Belarus,2023-02-22 18:00:00,-6.08,85,3.31
121,Minsk,Belarus,2023-02-22 21:00:00,-7.24,85,2.16
122,Minsk,Belarus,2023-02-23 00:00:00,-8.67,86,1.63
123,Minsk,Belarus,2023-02-23 03:00:00,-10.29,87,0.61
124,Minsk,Belarus,2023-02-23 06:00:00,-9.75,85,1.69
125,Minsk,Belarus,2023-02-23 09:00:00,-5.5,64,3.2
126,Minsk,Belarus,2023-02-23 12:00:00,-2.91,53,4.11
127,Minsk,Belarus,2023-02-23 15:00:00,-3.82,56,4.27
128,Minsk,Belarus,2023-02-23 18:00:00,-4.01,59,4.9
129,Minsk,Belarus,2023-02-23 21:00:00,-3.1,64,5.83
130,Minsk,Belarus,2023-02-24 00:00:00,-2.76,72,6.23
131,Minsk,Belarus,2023-02-24 03:00:00,-2.17,78,6.75
132,Minsk,Belarus,2023-02-24 06:00:00,-1.35,84,6.64
133,Minsk,Belarus,2023-02-24 09:00:00,0.16,87,6.14
134,Minsk,Belarus,2023-02-24 12:00:00,0.4,98,5.57
135,Minsk,Belarus,2023-02-24 15:00:00,1.07,98,4.62
136,Minsk,Belarus,2023-02-24 18:00:00,1.02,98,4.16
137,Minsk,Belarus,2023-02-24 21:00:00,-0.06,94,3.31
138,Minsk,Belarus,2023-02-25 00:00:00,-1.55,97,2.78
139,Minsk,Belarus,2023-02-25 03:00:00,0.42,96,3.73
140,Minsk,Belarus,2023-02-25 06:00:00,0.11,100,2.66
141,Minsk,Belarus,2023-02-25 09:00:00,0.76,100,3.52
142,Minsk,Belarus,2023-02-25 12:00:00,1.21,100,2.91
143,Minsk,Belarus,2023-02-25 15:00:00,0.39,98,2.82
144,Minsk,Belarus,2023-02-25 18:00:00,-0.35,98,3.65
145,Minsk,Belarus,2023-02-25 21:00:00,-0.85,96,4.43
146,Minsk,Belarus,2023-02-26 00:00:00,-1.06,97,5.42
147,Minsk,Belarus,2023-02-26 03:00:00,-1.26,95,5.89
148,Minsk,Belarus,2023-02-26 06:00:00,-2.88,92,5.51
149,Minsk,Belarus,2023-02-26 09:00:00,-3.05,90,5.85
150,Minsk,Belarus,2023-02-26 12:00:00,-2.46,88,6.04
151,Minsk,Belarus,2023-02-26 15:00:00,-3.42,90,5.71
152,Minsk,Belarus,2023-02-26 18:00:00,-4.42,90,5.24
